Credit_Status,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Credit_History
Y,0,0,1,0,250700,0,5600000,1
Y,1,1,1,1,574600,0,14400000,0
N,1,0,1,0,247300,184300,15900000,1
Y,1,1,0,0,339900,164000,11100000,1
Y,1,1,1,0,371700,0,12000000,1
Y,1,0,1,0,205800,213400,8800000,0
Y,0,1,1,0,354100,0,11200000,0
N,1,1,1,1,1000000,0,15500000,1
Y,1,0,1,0,240000,216700,11500000,1
Y,1,1,1,0,434200,18900,12400000,1
Y,1,1,0,0,360100,159000,0,1
Y,0,0,1,0,316600,298500,13200000,0
Y,1,1,1,0,1500000,0,30000000,1
N,1,1,1,1,866600,498300,37600000,0
Y,0,0,1,0,491700,0,13000000,0
Y,1,0,1,1,581800,216000,18400000,1
N,1,0,1,0,433300,245100,11000000,1
Y,0,0,1,0,250000,0,6700000,1
Y,0,1,1,0,438400,179300,11700000,1
Y,0,0,1,0,293500,0,9800000,1
Y,0,0,1,0,283300,0,7100000,1
Y,1,0,1,0,6333700,0,49000000,1
Y,1,1,1,1,983300,183300,18200000,1
Y,1,0,1,1,550300,449000,7000000,1
Y,1,1,1,0,525000,68800,16000000,1
Y,1,1,1,1,250000,460000,17600000,1
N,0,1,0,0,183000,0,0,0
Y,0,0,1,0,416000,0,7100000,1
N,1,1,0,0,264700,158700,17300000,1
N,0,0,1,0,237800,0,4600000,1
Y,1,1,0,0,455400,122900,15800000,1
Y,1,1,0,0,317300,0,7400000,1
Y,1,1,1,0,258300,233000,12500000,1
Y,1,0,1,0,249900,245800,16000000,1
N,1,0,0,0,352300,323000,15200000,0
Y,1,1,0,0,308300,216800,12600000,1
Y,1,0,1,0,633300,458300,25900000,0
